#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	4437665	17212410	6.91382	2.65818	36.2	58
chr2	1	242193529	2124676	11545125	4.7669	1.30684	36.2	57.9
chr3	1	198295559	1979553	9439934	4.76054	1.48913	36.2	58.7
chr4	1	190214555	638926	5382307	2.8296	0.500951	36.2	59
chr5	1	181538259	1856449	8778563	4.83565	1.52506	36.2	58.5
chr6	1	170805979	1844353	7730547	4.52592	1.61032	36.2	57.6
chr7	1	159345973	1938729	8804666	5.5255	1.81469	36.2	58.1
chr8	1	145138636	1172174	5988708	4.1262	1.20436	36.2	58.6
chr9	1	138394717	1915531	7729337	5.58499	2.06475	36.2	58
chr10	1	133797422	1203753	6879939	5.14206	1.34153	36.2	58.5
chr11	1	135086622	3164178	8901106	6.58918	3.49471	36.2	58
chr12	1	133275309	2705460	8309774	6.23504	3.02738	36.2	57.7
chr13	1	114364328	531379	3331971	2.91347	0.692757	36.2	58.8
chr14	1	107043718	932340	4832135	4.51417	1.29899	36.2	58.9
chr15	1	101991189	1204085	5584128	5.47511	1.76097	36.2	58.3
chr16	1	90338345	1972811	7611684	8.42575	3.25761	36.2	57
chr17	1	83257441	2663312	9287510	11.1552	4.77015	36.2	58.7
chr18	1	80373285	280198	2383730	2.96582	0.520029	36.2	58.7
chr19	1	58617616	2640103	8107266	13.8308	6.71734	36.2	58.6
chr20	1	64444167	1151509	4238903	6.57764	2.66496	36.2	58.8
chr21	1	46709983	697716	2796286	5.98648	2.22809	36.1	31.8
chr22	1	50818468	795066	3788543	7.45505	2.33356	36.2	58.8
chrX	1	156040895	1404121	5611131	3.59594	1.34216	36.2	56.7
chrY	1	57227415	27069	216191	0.377775	0.0705093	36.2	5.31
chrM	1	16569	4053295	16569	100	36456.6	36	59.5
GL000008.2	1	209709	77	5796	2.76383	0.0543372	36.1	31.5
GL000009.2	1	201709	1289	40222	19.9406	0.950696	36.2	55.5
GL000194.1	1	191469	1693	26167	13.6664	1.3166	36.2	50
GL000195.1	1	182896	2362	54257	29.6655	1.9219	36.2	40.1
GL000205.2	1	185591	1108	33408	18.0009	0.88778	36.1	26.1
GL000213.1	1	164239	22	2937	1.78825	0.0200257	36.5	3.68
GL000214.1	1	137718	927	25964	18.853	1.00284	36.1	7.31
GL000216.2	1	176608	2	296	0.167603	0.00167603	32.3	60
GL000218.1	1	161147	1651	33385	20.7171	1.526	36.3	53.7
GL000219.1	1	179198	192	6403	3.57314	0.159159	36.3	58.1
GL000220.1	1	161802	107881	60205	37.2091	99.4537	35.9	2.94
GL000221.1	1	155397	85	9366	6.02714	0.0813143	36.4	21
GL000224.1	1	179693	15	1660	0.923798	0.0123154	36.1	40.3
KI270442.1	1	392061	35	2003	0.51089	0.0132887	35.9	58.3
KI270467.1	1	3920	2	154	3.92857	0.0762755	36.8	60
KI270519.1	1	138126	8	719	0.520539	0.00860808	36.5	60
KI270706.1	1	175055	565	30381	17.3551	0.480123	36.2	50.2
KI270707.1	1	32032	20	1757	5.48514	0.0925012	36.5	60
KI270708.1	1	127682	2	300	0.234959	0.00234959	36.5	60
KI270709.1	1	66860	3	269	0.402333	0.00667066	35.8	60
KI270711.1	1	42210	839	11895	28.1805	2.958	36.2	24.6
KI270712.1	1	176043	25	2520	1.43147	0.0208472	36.2	22.1
KI270713.1	1	40745	77	6057	14.8656	0.280648	35.9	46.2
KI270714.1	1	41717	62	5428	13.0115	0.221948	36.3	54.3
KI270717.1	1	40062	6	798	1.99191	0.0223154	36.6	1
KI270718.1	1	38054	48	2662	6.99532	0.186314	36.2	13.1
KI270719.1	1	176845	20	2106	1.19087	0.0165399	36.1	24.4
KI270720.1	1	39050	12	934	2.39181	0.0457362	36.7	60
KI270721.1	1	100316	27331	10534	10.5008	40.6742	36	1.14
KI270722.1	1	194050	22	2135	1.10023	0.0168668	36.5	60
KI270723.1	1	38115	6	699	1.83392	0.0234291	36.2	60
KI270724.1	1	39555	4	490	1.23878	0.0150929	36.4	60
KI270725.1	1	172810	6	877	0.507494	0.00516753	36.4	20.7
KI270727.1	1	448248	32	2222	0.495708	0.0106504	36.1	30.5
KI270728.1	1	1872759	40	2310	0.123347	0.00317179	35.8	46.7
KI270729.1	1	280839	1	150	0.0534114	0.000534114	36.3	60
KI270731.1	1	150754	87	2650	1.75783	0.0853576	36.6	14.5
KI270733.1	1	179772	145742	56869	31.634	120.883	35.8	17.3
KI270734.1	1	165050	965	15898	9.63223	0.872602	36.4	20.8
KI270738.1	1	99375	10	842	0.847296	0.0147119	36.5	60
KI270742.1	1	186739	245	16174	8.66129	0.194882	36.2	44.5
KI270743.1	1	210658	142	6689	3.17529	0.0995215	36.4	44.6
KI270744.1	1	168472	1035	26547	15.7575	0.914496	35.9	45.6
KI270745.1	1	41891	183	9098	21.7183	0.646869	35.9	11.9
KI270748.1	1	93321	20	2126	2.27816	0.0316542	36.2	0.8
KI270750.1	1	148850	6	817	0.548875	0.00603292	35.9	20.7
KI270751.1	1	150742	846	22868	15.1703	0.836821	36.2	4.58
KI270754.1	1	40191	33	2652	6.59849	0.121445	36.4	33.2
KI270755.1	1	36723	43	3372	9.18226	0.175122	36.3	39.4
GL000208.1	1	92689	0	0	0	0	0	0
GL000225.1	1	211173	0	0	0	0	0	0
GL000226.1	1	15008	0	0	0	0	0	0
KI270302.1	1	2274	0	0	0	0	0	0
KI270303.1	1	1942	0	0	0	0	0	0
KI270304.1	1	2165	0	0	0	0	0	0
KI270305.1	1	1472	0	0	0	0	0	0
KI270310.1	1	1201	0	0	0	0	0	0
KI270311.1	1	12399	0	0	0	0	0	0
KI270312.1	1	998	0	0	0	0	0	0
KI270315.1	1	2276	0	0	0	0	0	0
KI270316.1	1	1444	0	0	0	0	0	0
KI270317.1	1	37690	0	0	0	0	0	0
KI270320.1	1	4416	0	0	0	0	0	0
KI270322.1	1	21476	0	0	0	0	0	0
KI270329.1	1	1040	0	0	0	0	0	0
KI270330.1	1	1652	0	0	0	0	0	0
KI270333.1	1	2699	0	0	0	0	0	0
KI270334.1	1	1368	0	0	0	0	0	0
KI270335.1	1	1048	0	0	0	0	0	0
KI270336.1	1	1026	0	0	0	0	0	0
KI270337.1	1	1121	0	0	0	0	0	0
KI270338.1	1	1428	0	0	0	0	0	0
KI270340.1	1	1428	0	0	0	0	0	0
KI270362.1	1	3530	0	0	0	0	0	0
KI270363.1	1	1803	0	0	0	0	0	0
KI270364.1	1	2855	0	0	0	0	0	0
KI270366.1	1	8320	0	0	0	0	0	0
KI270371.1	1	2805	0	0	0	0	0	0
KI270372.1	1	1650	0	0	0	0	0	0
KI270373.1	1	1451	0	0	0	0	0	0
KI270374.1	1	2656	0	0	0	0	0	0
KI270375.1	1	2378	0	0	0	0	0	0
KI270376.1	1	1136	0	0	0	0	0	0
KI270378.1	1	1048	0	0	0	0	0	0
KI270379.1	1	1045	0	0	0	0	0	0
KI270381.1	1	1930	0	0	0	0	0	0
KI270382.1	1	4215	0	0	0	0	0	0
KI270383.1	1	1750	0	0	0	0	0	0
KI270384.1	1	1658	0	0	0	0	0	0
KI270385.1	1	990	0	0	0	0	0	0
KI270386.1	1	1788	0	0	0	0	0	0
KI270387.1	1	1537	0	0	0	0	0	0
KI270388.1	1	1216	0	0	0	0	0	0
KI270389.1	1	1298	0	0	0	0	0	0
KI270390.1	1	2387	0	0	0	0	0	0
KI270391.1	1	1484	0	0	0	0	0	0
KI270392.1	1	971	0	0	0	0	0	0
KI270393.1	1	1308	0	0	0	0	0	0
KI270394.1	1	970	0	0	0	0	0	0
KI270395.1	1	1143	0	0	0	0	0	0
KI270396.1	1	1880	0	0	0	0	0	0
KI270411.1	1	2646	0	0	0	0	0	0
KI270412.1	1	1179	0	0	0	0	0	0
KI270414.1	1	2489	0	0	0	0	0	0
KI270417.1	1	2043	0	0	0	0	0	0
KI270418.1	1	2145	0	0	0	0	0	0
KI270419.1	1	1029	0	0	0	0	0	0
KI270420.1	1	2321	0	0	0	0	0	0
KI270422.1	1	1445	0	0	0	0	0	0
KI270423.1	1	981	0	0	0	0	0	0
KI270424.1	1	2140	0	0	0	0	0	0
KI270425.1	1	1884	0	0	0	0	0	0
KI270429.1	1	1361	0	0	0	0	0	0
KI270435.1	1	92983	0	0	0	0	0	0
KI270438.1	1	112505	0	0	0	0	0	0
KI270448.1	1	7992	0	0	0	0	0	0
KI270465.1	1	1774	0	0	0	0	0	0
KI270466.1	1	1233	0	0	0	0	0	0
KI270468.1	1	4055	0	0	0	0	0	0
KI270507.1	1	5353	0	0	0	0	0	0
KI270508.1	1	1951	0	0	0	0	0	0
KI270509.1	1	2318	0	0	0	0	0	0
KI270510.1	1	2415	0	0	0	0	0	0
KI270511.1	1	8127	0	0	0	0	0	0
KI270512.1	1	22689	0	0	0	0	0	0
KI270515.1	1	6361	0	0	0	0	0	0
KI270516.1	1	1300	0	0	0	0	0	0
KI270517.1	1	3253	0	0	0	0	0	0
KI270518.1	1	2186	0	0	0	0	0	0
KI270521.1	1	7642	0	0	0	0	0	0
KI270522.1	1	5674	0	0	0	0	0	0
KI270528.1	1	2983	0	0	0	0	0	0
KI270529.1	1	1899	0	0	0	0	0	0
KI270530.1	1	2168	0	0	0	0	0	0
KI270538.1	1	91309	0	0	0	0	0	0
KI270539.1	1	993	0	0	0	0	0	0
KI270544.1	1	1202	0	0	0	0	0	0
KI270548.1	1	1599	0	0	0	0	0	0
KI270579.1	1	31033	0	0	0	0	0	0
KI270580.1	1	1553	0	0	0	0	0	0
KI270581.1	1	7046	0	0	0	0	0	0
KI270582.1	1	6504	0	0	0	0	0	0
KI270583.1	1	1400	0	0	0	0	0	0
KI270584.1	1	4513	0	0	0	0	0	0
KI270587.1	1	2969	0	0	0	0	0	0
KI270588.1	1	6158	0	0	0	0	0	0
KI270589.1	1	44474	0	0	0	0	0	0
KI270590.1	1	4685	0	0	0	0	0	0
KI270591.1	1	5796	0	0	0	0	0	0
KI270593.1	1	3041	0	0	0	0	0	0
KI270710.1	1	40176	0	0	0	0	0	0
KI270715.1	1	161471	0	0	0	0	0	0
KI270716.1	1	153799	0	0	0	0	0	0
KI270726.1	1	43739	0	0	0	0	0	0
KI270730.1	1	112551	0	0	0	0	0	0
