#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	4404626	19138635	7.68754	2.63885	36.2	58.1
chr2	1	242193529	2010118	12980499	5.35956	1.23627	36.2	58.1
chr3	1	198295559	2063479	10631359	5.36137	1.55229	36.2	58.7
chr4	1	190214555	657799	6098053	3.20588	0.515873	36.2	59.1
chr5	1	181538259	1910326	9842856	5.42192	1.56961	36.2	58.4
chr6	1	170805979	2080859	8742218	5.11822	1.81675	36.3	57.4
chr7	1	159345973	1693453	9678297	6.07376	1.58493	36.2	58.1
chr8	1	145138636	1280230	6631037	4.56876	1.31569	36.2	58.4
chr9	1	138394717	2045775	8713729	6.29629	2.2049	36.2	58
chr10	1	133797422	1254608	7898910	5.90363	1.39881	36.2	58.7
chr11	1	135086622	3060846	10075951	7.45888	3.38047	36.2	58.5
chr12	1	133275309	2630758	9371282	7.03152	2.94339	36.2	57.9
chr13	1	114364328	594807	3855194	3.37098	0.775811	36.2	58.8
chr14	1	107043718	927189	5489303	5.12809	1.29187	36.2	59
chr15	1	101991189	1270431	6349733	6.22577	1.85817	36.2	58.3
chr16	1	90338345	2088893	8510407	9.42059	3.44886	36.2	57
chr17	1	83257441	2756022	10502606	12.6146	4.93543	36.2	58.7
chr18	1	80373285	298815	2760631	3.43476	0.554623	36.2	58.7
chr19	1	58617616	2894033	8990838	15.3381	7.3622	36.2	58.5
chr20	1	64444167	1125091	4795985	7.44208	2.60405	36.2	59
chr21	1	46709983	891194	3123183	6.68633	2.84631	36.1	26.5
chr22	1	50818468	820639	4332985	8.5264	2.40744	36.2	58.9
chrX	1	156040895	1501965	6302364	4.03892	1.43584	36.2	56.5
chrY	1	57227415	40240	243105	0.424805	0.104853	36.2	6.46
chrM	1	16569	2256359	16569	100	20301.1	36	59.6
GL000008.2	1	209709	47	4913	2.34277	0.0333939	35.9	29.8
GL000009.2	1	201709	835	34928	17.316	0.614757	36.1	54
GL000194.1	1	191469	1944	28940	15.1147	1.51076	36.2	51.3
GL000195.1	1	182896	2564	58760	32.1275	2.08751	36.1	39.3
GL000205.2	1	185591	1411	37935	20.4401	1.13222	36.1	31
GL000213.1	1	164239	18	1665	1.01377	0.0163664	35.9	7.56
GL000214.1	1	137718	452	21781	15.8157	0.487358	35.7	14.5
GL000216.2	1	176608	1	144	0.0815365	0.000815365	35.1	60
GL000218.1	1	161147	2060	38698	24.0141	1.90245	36.2	54.3
GL000219.1	1	179198	309	5688	3.17414	0.257045	36.2	57.9
GL000220.1	1	161802	181273	54514	33.6918	167.114	36	1.93
GL000221.1	1	155397	92	7758	4.99237	0.0877108	36.3	37.5
GL000224.1	1	179693	26	2635	1.46639	0.0214477	36.2	44.1
GL000225.1	1	211173	1	149	0.0705583	0.000705583	36.5	60
KI270330.1	1	1652	1	149	9.01937	0.0901937	36.4	60
KI270435.1	1	92983	2	146	0.157018	0.00314036	36.7	60
KI270442.1	1	392061	39	1595	0.406824	0.0147477	36.4	56.9
KI270448.1	1	7992	4	228	2.85285	0.0725726	36.2	60
KI270466.1	1	1233	1	148	12.0032	0.120032	36.7	60
KI270467.1	1	3920	6	350	8.92857	0.227041	36.7	60
KI270706.1	1	175055	602	29987	17.13	0.512679	36.1	55
KI270707.1	1	32032	29	2497	7.79533	0.134272	36.5	60
KI270709.1	1	66860	1	140	0.209393	0.00209393	35.2	0
KI270711.1	1	42210	644	13304	31.5186	2.27062	36.1	31.5
KI270712.1	1	176043	23	2361	1.34115	0.0190351	35.9	8.48
KI270713.1	1	40745	77	6172	15.1479	0.280353	36.2	46.1
KI270714.1	1	41717	167	7801	18.6998	0.596687	36.2	56.1
KI270717.1	1	40062	4	586	1.46273	0.0148769	36.6	1
KI270718.1	1	38054	16	1356	3.56336	0.0624901	36.1	45.2
KI270719.1	1	176845	10	1023	0.578473	0.00841415	36.7	18.7
KI270720.1	1	39050	2	149	0.381562	0.00763124	36.7	60
KI270721.1	1	100316	9916	16898	16.8448	14.748	36.1	1.45
KI270722.1	1	194050	51	4311	2.22159	0.0389539	36.2	60
KI270723.1	1	38115	4	479	1.25672	0.0155844	36.7	60
KI270725.1	1	172810	3	326	0.188646	0.00258087	36.9	60
KI270727.1	1	448248	62	5348	1.19309	0.0205578	36	16.2
KI270728.1	1	1872759	38	2592	0.138405	0.00299665	36.2	41.4
KI270729.1	1	280839	4	448	0.159522	0.00212221	35.9	30
KI270731.1	1	150754	90	3484	2.31105	0.0881436	36	19.3
KI270733.1	1	179772	231450	52619	29.2699	192.042	36	12.7
