#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	4399069	15970267	6.41488	2.63486	36.1	58
chr2	1	242193529	2007633	10702898	4.41915	1.23419	36	58.1
chr3	1	198295559	2077107	8839880	4.45793	1.56199	36.1	58.6
chr4	1	190214555	658479	5034573	2.64679	0.516253	36	59.1
chr5	1	181538259	1902600	8195066	4.51424	1.56286	36.1	58.4
chr6	1	170805979	2130593	7306652	4.27775	1.85962	36.1	57.1
chr7	1	159345973	1684805	8040671	5.04605	1.57634	36.1	58.1
chr8	1	145138636	1293784	5517635	3.80163	1.32925	36.1	58.6
chr9	1	138394717	2064886	7223503	5.21949	2.22498	36.1	57.5
chr10	1	133797422	1231990	6583691	4.92064	1.37321	36.1	58.6
chr11	1	135086622	3154966	8350084	6.18128	3.48345	36.1	58.4
chr12	1	133275309	2692426	7827478	5.87316	3.01159	36.1	57.7
chr13	1	114364328	583032	3168017	2.77011	0.760256	36	58.8
chr14	1	107043718	906606	4555444	4.25569	1.26282	36.1	59
chr15	1	101991189	1301736	5261757	5.15903	1.90341	36.1	58.4
chr16	1	90338345	2129640	7157753	7.92327	3.51534	36.1	57
chr17	1	83257441	2779994	8900535	10.6904	4.97682	36.1	58.7
chr18	1	80373285	297398	2283923	2.84164	0.551793	36.1	58.5
chr19	1	58617616	3007331	7675148	13.0936	7.64852	36.1	58.4
chr20	1	64444167	1128931	3953397	6.13461	2.61207	36.1	58.9
chr21	1	46709983	622832	2562824	5.48667	1.98865	36	34.9
chr22	1	50818468	814004	3540984	6.96791	2.38777	36.1	58.9
chrX	1	156040895	1520845	5225603	3.34887	1.45351	36.1	56.4
chrY	1	57227415	41476	203206	0.355085	0.108041	36.1	6.1
chrM	1	16569	2608751	16569	100	23471.8	35.9	59.5
GL000008.2	1	209709	37	2921	1.39288	0.0257023	36.4	29.6
GL000009.2	1	201709	630	27221	13.4952	0.464595	36	53.3
GL000194.1	1	191469	1801	25183	13.1525	1.40215	36.1	49.4
GL000195.1	1	182896	2417	49092	26.8415	1.96816	36	43.2
GL000205.2	1	185591	1377	31884	17.1797	1.10394	35.9	33.3
GL000213.1	1	164239	6	811	0.493793	0.00537631	34.1	20.7
GL000214.1	1	137718	457	18739	13.6068	0.493567	35.6	11.7
GL000216.2	1	176608	2	299	0.169302	0.00169302	35.3	60
GL000218.1	1	161147	1797	30784	19.1031	1.66025	36.1	54.1
GL000219.1	1	179198	311	3614	2.01676	0.258591	36.1	59.4
GL000220.1	1	161802	83469	52763	32.6096	76.9544	35.9	1.49
GL000221.1	1	155397	68	6117	3.93637	0.0652715	35.6	35.7
GL000224.1	1	179693	2	298	0.165838	0.00165838	32.9	1
KI270330.1	1	1652	2	213	12.8935	0.180993	35.5	60
KI270438.1	1	112505	3	340	0.302209	0.00395538	36.4	20.7
KI270442.1	1	392061	45	2082	0.53104	0.0169157	36.4	54.7
KI270467.1	1	3920	14	410	10.4592	0.530102	34.7	60
KI270706.1	1	175055	441	24673	14.0944	0.375505	35.9	51.3
KI270707.1	1	32032	20	2490	7.77348	0.0929695	35.5	60
KI270708.1	1	127682	1	147	0.11513	0.0011513	36.7	0
KI270709.1	1	66860	5	487	0.728388	0.010679	35.8	48
KI270711.1	1	42210	498	10229	24.2336	1.75532	36.2	21.5
KI270712.1	1	176043	48	3953	2.24547	0.0400527	35.4	26.7
KI270713.1	1	40745	42	3290	8.07461	0.153172	36.4	44.5
KI270714.1	1	41717	108	6584	15.7825	0.386317	36.1	55.1
KI270717.1	1	40062	4	544	1.3579	0.0149269	36.6	1
KI270718.1	1	38054	27	2050	5.38708	0.105744	36.1	27.1
KI270719.1	1	176845	25	1468	0.830105	0.0209901	35.3	5.56
KI270720.1	1	39050	6	717	1.83611	0.0227913	36.8	60
KI270721.1	1	100316	11868	11459	11.4229	17.6498	35.9	1.43
KI270722.1	1	194050	41	3189	1.64339	0.031327	36.3	60
KI270724.1	1	39555	2	179	0.452534	0.00755909	36.8	60
KI270725.1	1	172810	4	526	0.304381	0.00346045	36.5	0.75
KI270727.1	1	448248	55	3846	0.858007	0.0182778	35.9	14.9
KI270728.1	1	1872759	46	3384	0.180696	0.00364169	35.8	27.9
KI270729.1	1	280839	1	133	0.0473581	0.000473581	34.5	60
KI270731.1	1	150754	103	3621	2.40193	0.101238	35.9	15.2
KI270732.1	1	41543	1	150	0.361072	0.00361072	36.3	60
KI270733.1	1	179772	96214	51459	28.6246	79.8189	35.9	7.09
KI270734.1	1	165050	584	12804	7.75765	0.527295	36.2	25.4
KI270738.1	1	99375	13	936	0.941887	0.0193107	35.6	41.5
KI270742.1	1	186739	151	13107	7.01889	0.119991	36.1	36.1
KI270743.1	1	210658	161	8537	4.05254	0.113478	36	46.1
KI270744.1	1	168472	842	20272	12.0329	0.743851	35.8	39.1
KI270745.1	1	41891	210	9168	21.8854	0.743525	35.8	15.2
KI270746.1	1	66486	2	266	0.400084	0.00443702	36.3	60
KI270747.1	1	198735	2	244	0.122777	0.00150452	36.2	60
