"","SRR11647705","SRR11647706","SRR11647707","SRR11647708","SRR11647709","SRR11647710"
"ENSG00000000003",6.34087962730076,6.34087962730076,6.34087962730076,6.34087962730076,6.34087962730076,6.34087962730076
"ENSG00000000005",6.34087962730076,6.34087962730076,6.34087962730076,6.34087962730076,6.34087962730076,6.34087962730076
"ENSG00000000419",10.811770509884,10.9854062496257,10.8628380393519,10.9729661822399,10.8384521084937,10.7080120356858
"ENSG00000000457",8.34498219963544,8.14566604841211,8.40671988638995,8.19033308883233,8.45274504765105,8.09075351041244
"ENSG00000000460",9.45847276274343,9.51429046238637,9.52958897705155,9.47436919872585,9.60106084146186,9.64569447532967
"ENSG00000000938",6.79628829377936,6.79745119422352,6.7318114008477,6.34087962730076,6.56354313621346,6.73162309615404
"ENSG00000000971",6.56929189938705,6.56987878097367,6.61773164000491,6.49871996005172,6.69242073581284,6.61759788098159
"ENSG00000001036",11.0420233995753,11.1063509548083,10.992386639923,11.3460519238226,11.3577587216161,11.3177182953917
"ENSG00000001084",10.3514311575432,10.4508872297128,10.3374172431694,10.3649065834339,10.4396224354182,10.4886437545735
"ENSG00000001167",9.82690689100259,9.92165294034418,9.88358677085155,9.96227716773763,9.94316778226121,9.74212398641774
"ENSG00000001460",9.69369472303817,9.58795359843849,9.53941425170228,9.47436919872585,9.28456621507921,9.44521694419229
"ENSG00000001461",10.9770994868842,10.961134464971,11.0621649922897,10.9722677730657,10.9904901394273,11.0002678946605
"ENSG00000001497",11.0798879427313,11.1628902738987,11.1033807913938,11.2662994835356,11.326006763422,11.373595989352
"ENSG00000001561",6.34087962730076,6.34087962730076,6.34087962730076,6.34087962730076,6.34087962730076,6.34087962730076
"ENSG00000001617",13.9970445423177,13.9386864189623,13.9494718781613,13.1337489764411,13.2041391176045,13.2187160117338
"ENSG00000001626",7.4237096616357,7.40403827187004,7.61879293194265,7.17944528197241,7.29493144063351,7.29660079944465
"ENSG00000001629",11.2746834589674,11.420728331958,11.5846283437875,11.5322830024849,11.6409742050109,11.2961205573592
"ENSG00000001630",8.27569646378243,8.24385632858894,8.54325181180116,7.60252515964,7.95310698668226,7.79634017939617
"ENSG00000001631",8.62143830904786,8.60272011945014,8.51871812224834,8.8966355531363,8.80186871541452,8.78920949471862
