#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	4419776	22535661	9.05205	2.64763	36.2	58
chr2	1	242193529	2010290	15470932	6.38784	1.23589	36.2	58.1
chr3	1	198295559	2075087	12889352	6.50007	1.56082	36.2	58.7
chr4	1	190214555	658500	7124189	3.74534	0.516335	36.2	59.1
chr5	1	181538259	1913914	11998749	6.60949	1.57233	36.2	58.5
chr6	1	170805979	2088657	10346693	6.05757	1.8233	36.2	57.5
chr7	1	159345973	1698515	11658953	7.31675	1.58941	36.2	58.1
chr8	1	145138636	1291109	7888978	5.43548	1.32671	36.2	58.5
chr9	1	138394717	2073986	10523615	7.60406	2.23512	36.2	57.8
chr10	1	133797422	1244825	9568582	7.15154	1.38772	36.2	58.7
chr11	1	135086622	3202022	11901624	8.81036	3.53595	36.2	58.5
chr12	1	133275309	2651218	11058136	8.29721	2.96596	36.2	57.8
chr13	1	114364328	590666	4737231	4.14223	0.770322	36.1	58.8
chr14	1	107043718	928126	6345407	5.92786	1.29303	36.2	59
chr15	1	101991189	1284944	7606888	7.45838	1.87919	36.2	58.2
chr16	1	90338345	2156040	9765391	10.8098	3.55942	36.2	57
chr17	1	83257441	2812617	12088883	14.5199	5.03615	36.2	58.7
chr18	1	80373285	301234	3363748	4.18516	0.558979	36.2	58.6
chr19	1	58617616	3023350	9911773	16.9092	7.69057	36.2	58.5
chr20	1	64444167	1143225	5573983	8.64932	2.64558	36.2	58.9
chr21	1	46709983	1294808	3655320	7.82556	4.13648	36.1	18.9
chr22	1	50818468	843429	5073859	9.98428	2.47417	36.2	58.9
chrX	1	156040895	1511046	7593487	4.86634	1.4444	36.2	56.4
chrY	1	57227415	41340	275462	0.481346	0.107697	36.2	6.63
chrM	1	16569	2389362	16569	100	21493	36	59.6
GL000008.2	1	209709	69	5898	2.81247	0.0486961	36.4	30.9
GL000009.2	1	201709	1175	55307	27.4192	0.86599	36.2	54.7
GL000194.1	1	191469	2152	38776	20.2518	1.67327	36.2	50.8
GL000195.1	1	182896	2997	67784	37.0615	2.44002	36.2	41.9
GL000205.2	1	185591	1635	41740	22.4903	1.31278	36.1	28
GL000213.1	1	164239	10	1248	0.759868	0.00910868	36.5	1
GL000214.1	1	137718	483	21100	15.3212	0.522306	35.8	10.5
GL000218.1	1	161147	2226	42685	26.4882	2.05599	36.2	54.5
GL000219.1	1	179198	233	5009	2.79523	0.193691	36.1	58.5
