#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	4483785	18314852	7.35665	2.68611	36.2	58.1
chr2	1	242193529	2190092	12548384	5.18114	1.34718	36.2	58
chr3	1	198295559	2034746	10218994	5.15342	1.53067	36.2	58.8
chr4	1	190214555	673659	5825425	3.06255	0.528272	36.2	59
chr5	1	181538259	1915317	9608334	5.29273	1.57371	36.2	58.4
chr6	1	170805979	1863633	8396094	4.91557	1.62711	36.2	57.7
chr7	1	159345973	1960961	9481516	5.95027	1.83516	36.2	58.1
chr8	1	145138636	1215538	6472724	4.45968	1.24904	36.2	58.7
chr9	1	138394717	1907664	8297788	5.99574	2.0559	36.2	58.1
chr10	1	133797422	1253167	7448865	5.56727	1.39718	36.2	58.6
chr11	1	135086622	3139144	9444438	6.99139	3.46683	36.2	57.9
chr12	1	133275309	2718712	9008173	6.75907	3.04233	36.2	57.8
chr13	1	114364328	570205	3672456	3.21119	0.743649	36.1	58.8
chr14	1	107043718	955685	5175782	4.8352	1.3316	36.2	59
chr15	1	101991189	1221241	6017322	5.89984	1.78609	36.2	58.3
chr16	1	90338345	1935268	7930198	8.77833	3.19506	36.2	57
chr17	1	83257441	2639576	9713749	11.6671	4.72708	36.2	58.7
chr18	1	80373285	295359	2584123	3.21515	0.548171	36.2	58.8
chr19	1	58617616	2547943	8442257	14.4023	6.48155	36.2	58.6
chr20	1	64444167	1139069	4507533	6.99448	2.63628	36.2	58.8
chr21	1	46709983	688535	2992334	6.4062	2.19883	36.1	32.8
chr22	1	50818468	776289	3983470	7.83863	2.27753	36.2	58.8
chrX	1	156040895	1427944	6065412	3.88707	1.36506	36.2	56.9
chrY	1	57227415	27346	235066	0.410758	0.0712177	36.2	8.78
chrM	1	16569	3904427	16569	100	35120.6	36	59.5
GL000008.2	1	209709	53	4417	2.10625	0.0376522	36.1	43.2
GL000009.2	1	201709	1387	42403	21.0219	1.02468	36.2	54.9
GL000194.1	1	191469	1725	31357	16.3771	1.34218	36.2	50.1
GL000195.1	1	182896	2677	61457	33.6022	2.17824	36.1	41.8
GL000205.2	1	185591	1264	37151	20.0177	1.0134	36	25.9
GL000213.1	1	164239	31	2735	1.66526	0.0280689	36.2	8.61
GL000214.1	1	137718	1134	27239	19.7788	1.22654	35.9	6.73
GL000216.2	1	176608	4	445	0.25197	0.00335772	34.9	60
GL000218.1	1	161147	1820	36034	22.3609	1.6825	36.2	54.3
GL000219.1	1	179198	283	8237	4.59659	0.235137	36.2	58.5
GL000220.1	1	161802	97849	57905	35.7876	90.2239	36	2.21
GL000221.1	1	155397	86	8314	5.35017	0.0824212	36.3	24.9
GL000224.1	1	179693	18	1552	0.863695	0.0149644	36.5	46.8
GL000225.1	1	211173	2	148	0.0700847	0.00140169	36.3	60
KI270330.1	1	1652	2	282	17.0702	0.170702	35.1	60
KI270438.1	1	112505	4	203	0.180436	0.00523532	34.5	60
KI270442.1	1	392061	23	1412	0.360148	0.00873589	35.6	41.7
KI270466.1	1	1233	13	382	30.9813	1.53528	36.2	60
KI270467.1	1	3920	3	449	11.4541	0.114541	36.2	40
KI270519.1	1	138126	2	219	0.158551	0.00216469	34.4	60
KI270706.1	1	175055	635	30596	17.4779	0.54015	36.2	53.5
KI270707.1	1	32032	29	3170	9.89635	0.135115	36.1	53.9
KI270709.1	1	66860	2	142	0.212384	0.00415794	36.5	0
KI270711.1	1	42210	1063	13828	32.76	3.74463	36.2	28.3
KI270712.1	1	176043	20	1908	1.08383	0.0168425	35.5	6.9
KI270713.1	1	40745	81	5947	14.5957	0.295693	35.8	43.2
KI270714.1	1	41717	86	5431	13.0187	0.306182	36.2	55.9
KI270717.1	1	40062	8	1197	2.98787	0.0298787	36.7	1
KI270718.1	1	38054	31	2492	6.54859	0.121065	36.3	16
KI270719.1	1	176845	20	1889	1.06817	0.0163363	35.7	21.4
KI270720.1	1	39050	9	907	2.32266	0.0341869	36.1	53.3
KI270721.1	1	100316	25704	12333	12.2942	38.2292	36	1.2
KI270722.1	1	194050	39	3715	1.91446	0.0298531	36	55.4
KI270723.1	1	38115	4	213	0.558835	0.0157418	37	60
KI270724.1	1	39555	7	692	1.74946	0.0264189	36	60
KI270725.1	1	172810	8	816	0.472195	0.00689196	36.4	30.5
KI270727.1	1	448248	28	3216	0.71746	0.00932073	36.4	19.9
